competitor_id,name,country,country_code,abbreviation
49548,"Manafov, Vladyslav",Ukraine,UKR,MAN
496346,"Stricker, Dominic",Switzerland,CHE,STR
77223,"Martinez, Pedro",Spain,ESP,MAR
233144,"Duda, Filip",Czechia,CZE,DUD
303808,"Nijboer, Ryan",Netherlands,NLD,NIJ
348308,"Sheehy, Joshua",USA,USA,SHE
49663,"Escoffier, Antoine",France,FRA,ESC
85877,"Villanueva, Gonzalo",Argentina,ARG,VIL
51974,"Daniell, Marcus",New Zealand,NZL,DAN
77501,"Wehnelt, Kai",Germany,DEU,WEH
106755,"Rublev, Andrey",Neutral,,RUB
55787,"Olivo, Renzo",Argentina,ARG,OLI
853643,"Romano, Filippo",Italy,ITA,ROM
120956,"Alcantara, Francis Casey",Philippines,PHL,ALC
79223,"Delaney, Jake",Australia,AUS,DEL
99587,"Chung, Yun Seong",Republic of Korea,KOR,CHU
352776,"Draper, Jack",Great Britain,GBR,DRA
399637,"Cobolli, Flavio",Italy,ITA,COB
125006,"Borges, Nuno",Portugal,PRT,BOR
255595,"Cerundolo, Francisco",Argentina,ARG,CER
552469,"Agafonov, Egor",Neutral,,AGA
161220,"Pavel, Bogdan",Romania,ROU,PAV
310972,"Banthia, Siddhant",India,IND,BAN
379924,"Whiting, Tennyson",USA,USA,WHI
51304,"Stevenson, Kelsey",Canada,CAN,STE
212004,"Rodionov, Jurij",Austria,AUT,ROD
40540,"Cacic, Nikola",Serbia,SRB,CAC
682913,"Rocha, Henrique",Portugal,PRT,ROC
145122,"Martineau, Matteo",France,FRA,MAR
88992,"Muller, Alexandre",France,FRA,MUL
686709,"Simakin, Ilia",Neutral,,SIM
156664,"TE, Rigele",China,CHN,RIG
450283,"Mpetshi Perricard, Giovanni",France,FRA,MPE
169492,"Aboian, Leonardo",Argentina,ARG,ABO
196672,"Davis, James",Great Britain,GBR,DAV
398360,"Urrea, Andres",Colombia,COL,URR
44553,"Herbert, Pierre-Hugues",France,FRA,HER
412829,"Matsuda, Ryuki",Japan,JPN,MAT
154740,"Delaney, Jesse",Australia,AUS,DEL
67154,"Barrere, Gregoire",France,FRA,BAR
392066,"Navone, Mariano",Argentina,ARG,NAV
161868,"Huertas Del Pino, Connor",Peru,PER,HUE
723013,"Pokorny, Lukas",Slovakia,SVK,POK
217192,"Ouakaa, Aziz",Tunisia,TUN,OUA
927343,"Cadenasso, Gianluca",Italy,ITA,CAD
130436,"Habib, Hady",Lebanon,LBN,HAB
498580,"Aboian, Valerio",Argentina,ARG,ABO
94485,"Bonzi, Benjamin",France,FRA,BON
305558,"Roncadelli, Franco",Uruguay,URY,RON
322589,"Pujol Navarro, Bruno",Spain,ESP,PUJ
167370,"Ruusuvuori, Emil",Finland,FIN,RUU
104847,"Sonego, Lorenzo",Italy,ITA,SON
759900,"Lanik, Tomas",Slovakia,SVK,LAN
180104,"Reymond, Arthur",France,FRA,REY
126622,Ruehl. Tim,Germany,DEU,RUE
308834,"Schachter, Noah",USA,USA,SCH
49417,"Tu, Li",Australia,AUS,TUL
170964,"Bittoun Kouzmine, Constantin",France,FRA,BIT
154490,"Pearson, Kody",Australia,AUS,PEA
93597,"Pellegrino, Andrea",Italy,ITA,PEL
38180,"Mena, Facundo",Argentina,ARG,MEN
121248,"Roveri Sidney, Gabriel",Brazil,BRA,ROV
57703,"Pouille, Lucas",France,FRA,POU
15931,"Brown, Dustin",Jamaica,JAM,BRO
51141,"Carballes Baena, Roberto",Spain,ESP,CAR
154570,"Orlov, Vladyslav",Ukraine,UKR,ORL
50360,"Margaroli, Luca",Switzerland,CHE,MAR
126402,"Denolly, Corentin",France,FRA,DEN
645442,"Genov, Anthony",Bulgaria,BGR,GEN
103625,"Geerts, Michael",Belgium,BEL,GEE
774476,"Debru, Gabriel",France,FRA,DEB
226124,"Holmgren, August",Denmark,DNK,HOL
52276,"Krueger, Mitchell",USA,USA,KRU
682911,"Faria, Jaime",Portugal,PRT,FAR
220588,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU
205767,"Cretu, Cezar (2001)",Romania,ROU,CRE
251091,"Noguchi, Rio",Japan,JPN,NOG
645452,"Nesterov, Pyotr",Bulgaria,BGR,NES
767058,"Lobanov, Aleksandr",Neutral,,LOB
113905,"Moreno de Alboran, Nicolas",USA,USA,MAN
731833,"Kielan, Szymon",Poland,POL,KIE
163540,"Hermans, Mats",Netherlands,NLD,HER
603098,"Fery, Arthur",Great Britain,GBR,FER
126356,"Munar, Jaume",Spain,ESP,MUN
312436,"Hudd, Emile",Great Britain,GBR,HUD
452787,"Kumar, Pranav",USA,USA,KUM
437734,"Shin, Woobin",Republic of Korea,KOR,SHI
223788,"Stepanov, Roy",Israel,ISR,STE
458575,"Agostini, Simone",Italy,ITA,AGO
22962,"Jebavy, Roman",Czechia,CZE,JEB
614090,"Pieczonka, Filip",Poland,POL,PIE
130442,"Rai, Ajeet",New Zealand,NZL,RAI
124934,"Lomakin, Grigoriy",Kazakhstan,KAZ,LOM
17046,"Statham, Rubin",New Zealand,NZL,STA
387066,"Forejtek, Jonas",Czechia,CZE,FOR
60614,"Poljak, David",Czechia,CZE,POL
381022,"Wendelken, Harry",Great Britain,GBR,WEN
132558,"Kolar, Zdenek",Czechia,CZE,KOL
207777,"Imamura, Masamichi",Japan,JPN,IMA
681071,"Ganta, Sai Karteek Reddy",India,IND,GAN
286367,"Krutykh, Oleksii",Ukraine,UKR,KRU
452691,"Araujo, Pedro",Portugal,PRT,ARA
